Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation,Folder,Filename,Comments
L'Automne Valse 2,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,G major,,A,L'Automne Valse 2 Op170 G major,
L'Automne Valse 3,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,,A,L'Automne Valse 3 Op170 Ab major,
L'Automne Valse 4 Coda,Albeniz,Op170,,1890-1899,Piano,,,OtherSolo,,Waltz,,Spain,G minor,,A,L'Automne Valse 4 Coda Op170 G minor,
Mallorca,Albeniz,Op202,,1890-1899,Guitar,,,OtherSolo,,,,Spain,D minor,,A,Mallorca D minor,
Oriental,Albeniz,Op232No2,1892,,Guitar,,,OtherSolo,,,,Spain,D minor,,A,Oriental Op232No2 D minor,
Pavane-Capricho,Albeniz,Op12,1884,,Guitar,,,OtherSolo,,,,Spain,D minor,,A,Pavane-Capricho Op12 D minor,Isaac Albeniz
Piezas caracteristicas Gavotte -Allegro,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,Gavotte,,Spain,D major,,A,Piezas caracteristicas Gavotte -Allegro D major,
Piezas caracteristicas Minuetto a Sylvia Allegretto,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,Minuet,,Spain,D major,,A,Piezas caracteristicas Minuetto a Sylvia Allegretto D major,
Piezas caracteristicas Plegaria-Andante,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,,,Spain,D major,,A,Piezas caracteristicas Plegaria-Andante D major,
Piezas caracteristicas Torre Bermeja-Allegro Molto,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,,,Spain,D major,,A,Piezas caracteristicas Torre Bermeja-Allegro Molto D major,
Piezas caracteristicas Zambra-Allegro Molto,Albeniz,Op92,1888,,Guitar,,,CharacterPiece,,,,Spain,G minor,,A,Piezas caracteristicas Zambra-Allegro Molto G minor,
Recuerdos de Viaje Travel Impressions 1 En el Mar On the Sea,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,Ab major,,A,Recuerdos de Viaje Travel Impressions 1 En el Mar On the Sea Op71 Ab major,
Recuerdos de Viaje Travel Impressions 2 Leyenda-Barcarole Legend,Albeniz,Op71,1886,,Piano,,,OthersSolo,,Barcarole,,Spain,Eb major,,A,Recuerdos de Viaje Travel Impressions 2 Leyenda-Barcarole Legend Op71 Eb major,
Recuerdos de Viaje Travel Impressions 3 Alborada Dawn,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,A major,,A,Recuerdos de Viaje Travel Impressions 3 Alborada Dawn Op71 A major,
Recuerdos de Viaje Travel Impressions 4 En la Alhambra In the Alhambra,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,A minor,,A,Recuerdos de Viaje Travel Impressions 4 En la Alhambra In the Alhambra Op71 A minor,
Recuerdos de Viaje Travel Impressions 5 Puerta de Tierra Bolero,Albeniz,Op71,1886,,Piano,,,OthersSolo,,,,Spain,D major,,A,Recuerdos de Viaje Travel Impressions 5 Puerta de Tierra Bolero Op71 D major,
